aaer_num,filing_entity,aaer_respondent,primary_category,fiscal_periods_affected,dollar_impact,specific_mechanism,respondent_type,llm_confidence,release_no,sec_date,pdf_name
2232,Coca-Cola Company,The Coca-Cola Company,REVENUE_TIMING,FY1997|FY1998|FY1999,,"Coca-Cola engaged in channel stuffing (gallon pushing) by inducing Japanese bottlers to purchase concentrate at the end of reporting periods through extended credit terms, generating revenue to meet earnings targets for 8 out of 12 quarters from 1997 through 1999.",issuer,0.95,"33-8569, 34-51565, AAER-2232","April 18, 2005",AAER-2232.pdf
4002,Santander Consumer USA Holdings Inc.,Santander Consumer USA Holdings Inc.,ACCOUNTING_ESTIMATE,FY2014|FY2015|FY2016,,"SCUSA failed to properly segregate and account for impairment of troubled debt restructuring loans, used an incorrect discount rate, and made errors in calculating the accretion of that discount, resulting in material misstatements of its credit loss allowance.",issuer,0.95,"34-84829, AAER-4002","Dec. 17, 2018",AAER-4002.pdf
3835,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",REVENUE_TIMING,FY2012|FY2013|FY2014,,"JKHY improperly separated closely related contracts and prematurely recognized software license revenue without vendor-specific objective evidence (VSOE) for undelivered services, leading to material misstatements in revenue and net income.",issuer,0.95,"34-79650, AAER-3835","Dec. 21, 2016",AAER-3835.pdf
4425,Future FinTech Group Inc.,"Future FinTech Group Inc.,",ACCOUNTING_ESTIMATE,FY2016|FY2017|FY2018,,"FTFT failed to recognize impairment losses on long-lived assets under ASC Topic 360 despite triggering events and sustained operating losses, resulting in overstated carrying amounts of assets during fiscal years 2016, 2017, and 2018.",issuer,0.95,"33-11206, 34-97829, AAER-4425","July 3, 2023",AAER-4425.pdf
3713,HLSS,"Home Loan Servicing Solutions, Ltd.",ACCOUNTING_ESTIMATE,FY2012|FY2013|FY2014-Q1,,"HLSS misstated net income by adopting a valuation methodology for its Rights to MSRs that did not conform to GAAP, assigning a value equivalent to carrying value rather than best estimate of fair value, using a 5% threshold test.",issuer,0.95,"34-76074, AAER-3713","Oct. 5, 2015",AAER-3713.pdf
3593,Great Lakes Dredge & Dock Corporation,Great Lakes Dredge & Dock Corporation,REVENUE_TIMING,FY2012-Q2|FY2012-Q3,,"Great Lakes overstated revenue in its demolition segment by recording revenue for pending change orders without sufficient proof of customer acceptance, resulting in material overstatements of net income for the second and third quarters of 2012.",issuer,0.95,"34-73434, AAER-3593","Oct. 27, 2014",AAER-3593.pdf
4559,"Celsius Holdings, Inc.","Celsius Holdings, Inc.",EXPENSE_DEFERRAL,FY2021-Q2|FY2021-Q3,,Celsius understated general and administrative expenses by failing to recognize incremental stock-based compensation costs from modifications to stock awards for six departing employees and retiring board members in Q2 and Q3 2021.,issuer,0.95,"34-102227, AAER-4559","Jan. 17, 2025",AAER-4559.pdf
4264,"Amyris, Inc.","Amyris, Inc.",REVENUE_TIMING,FY2018-Q1|FY2018-Q2,,"Amyris improperly recognized royalty revenue in the first two quarters of 2018 by failing to apply the ASC 606 constraint on variable consideration, resulting in overstated revenue that required a restatement.",issuer,0.95,"34-93341, AAER-4264","Oct. 15, 2021",AAER-4264.pdf
4076,Marvell Technology Group Ltd.,"Marvell Technology Group, Ltd.",REVENUE_TIMING,FY2015-Q4|FY2016-Q1,,"Marvell accelerated, or pulled-in, sales originally scheduled for future quarters into the current quarter to meet public revenue guidance, masking declining sales and misleading investors.",issuer,0.95,"33-10684, 34-86971, AAER-4076","Sept. 16, 2019",AAER-4076.pdf
4294,"Rollins, Inc.","Rollins, Inc. and Paul Edward Northen",EARNINGS_SMOOTHING,FY2016-Q1|FY2017-Q2,,"The CFO directed reductions to corporate-level accounting reserves at quarter-end to increase net income and meet consensus EPS estimates, without adequate GAAP analysis or documentation.",issuer,0.95,"33-11052, 34-94742, AAER-4294","April 18, 2022",AAER-4294.pdf
2620,Cambrex Corporation,Cambrex Corporation,EXPENSE_DEFERRAL,FY1997|FY1998|FY1999|FY2000|FY2001,overstated pre-tax income by a total of $6.1 million,"Cambrex failed to reconcile intercompany accounts, causing approximately $3.5 million of operating expenses to be erroneously reflected as income, thereby understating expenses and overstating pre-tax income.",issuer,0.9,"34-55933, AAER-2620","June 20, 2007",AAER-2620.pdf
2643,OM Group,"OM Group, Inc.",EARNINGS_SMOOTHING,FY2001|FY2002|FY2003-Q1|FY2003-Q2|FY2003-Q3,reducing retained earnings by $64 million,"OM Group recorded unsupported and duplicative top-side adjustments to manage earnings and achieve financial results closer to its annual plan, materially overstating net income.",issuer,0.9,"33-8826, 34-56089, AAER-2643, AAER-2642","July 18, 2007",AAER-2643.pdf
2588,Atlas,"Atlas Air Worldwide Holdings, Inc.",ACCOUNTING_ESTIMATE,FY2000|FY2001|FY2002-Q1|FY2002-Q2,retained earnings decreased from $185.1 million to an accumulated deficit of $180.2 million,"Atlas understated expenses for aircraft maintenance, excess and obsolete inventory, and doubtful accounts receivable, and overstated the value of its aircraft fleet by failing to properly account for impairment and reserve estimates.",issuer,0.9,"34-55556, AAER-2588","March 29, 2007",AAER-2588.pdf
3487,"Medifast, Inc.","Medifast, Inc.",ACCOUNTING_ESTIMATE,FY2006|FY2007|FY2008|FY2009,material understatements of its income tax expense and material overstatements of its net income after tax,"Medifast improperly accounted for its income tax provision by failing to comply with FAS 109, resulting in material understatements of income tax expense and overstatements of net income for fiscal years 2006, 2007, and 2008.",issuer,0.9,"34-70448, AAER-3487","Sept. 18, 2013",AAER-3487.pdf
2974,CSK Auto Corporation,CSK Auto Corporation,REVENUE_TIMING,FY2002|FY2003|FY2004,"overstated pre-tax income by approximately $11 million in FY2002, $34 million in FY2003, and $21 million in FY2004","CSK improperly recognized vendor allowances as a reduction to cost of sales, overstating pre-tax income by failing to write off uncollectible vendor allowance receivables and by prematurely recognizing vendor allowances in fiscal year 2003.",issuer,0.9,"33-9032, 34-59973, AAER-2974","May 26, 2009",AAER-2974.pdf
4174,Fulton Financial Corporation,Fulton Financial Corporation,ACCOUNTING_ESTIMATE,FY2016-Q4|FY2017-Q1|FY2017-Q2,$1.3 million,"Fulton maintained a $1.3 million MSR valuation allowance that was not supported by its disclosed valuation process, then reversed it in the following quarter to meet analyst EPS expectations.",issuer,0.9,"34-90017, AAER-4174","Sept. 28, 2020",AAER-4174.pdf
4012,"Hertz Global Holdings, Inc.","Hertz Global Holdings, Inc. and the Hertz Corporation",ACCOUNTING_ESTIMATE,FY2011|FY2012|FY2013,reduced pretax income by $235 million,"Hertz understated allowance for uncollectible amounts by using inappropriate estimation methodologies, inflating pretax income, and later restated to reduce pretax income by $235 million.",issuer,0.9,"33-10601, 34-84979, AAER-4012","Dec. 31, 2018",AAER-4012.pdf
2838,Citigroup Inc.,Citigroup Inc.,ACCOUNTING_ESTIMATE,FY2001-Q4|FY2001,overstated income by at least $311 million after-tax,"Citigroup improperly accounted for the impact of the Argentine crisis on four items (bond swap, non-swapped bonds, sale of Bansud, and loan conversion), failing to record additional charges of at least $479 million pre-tax, thereby overstating fourth quarter 2001 earnings by more than 8%.",issuer,0.9,"34-57970, AAER-2838","June 16, 2008",AAER-2838.pdf
2540,Lattice Semiconductor Corp.,Lattice Semiconductor Corp.,REVENUE_TIMING,FY2003-Q2|FY2003-Q3,overstated revenue by approximately $10.6 million,"The former controller entered unsupported journal entries totaling $5.5 million to improperly reduce deferred revenue, causing Lattice to prematurely recognize revenue from distributor sales before the distributors reported resale to end users.",issuer,0.9,"34-55097, AAER-2540","Jan. 12, 2007",AAER-2540.pdf
4323,Bancorp,"The Bancorp, Inc.",ACCOUNTING_ESTIMATE,FY2017-Q1|FY2017-Q2|FY2017-Q3|FY2017|FY2018-Q1|FY2018-Q2|FY2018-Q3|FY2018|FY2019-Q1,,Bancorp manipulated the fair value of CRE certificates by using unsupported prepayment rate assumptions (a Level 3 unobservable input) to overstate gains on loan securitizations.,issuer,0.9,"34-95589, AAER-4323","Aug. 24, 2022",AAER-4323.pdf
4452,Plug Power Inc.,Plug Power Inc.,EXPENSE_DEFERRAL,FY2018|FY2019|FY2019-Q1|FY2019-Q2|FY2019-Q3|FY2019-Q4|FY2020-Q1|FY2020-Q2|FY2020-Q3,,"Plug Power improperly classified certain research and development costs as cost of revenue, thereby deferring expense recognition and overstating gross margin.",issuer,0.9,"34-98243, AAER-4452","Aug. 30, 2023",AAER-4452.pdf
2618,Allied Capital Corporation,Allied Capital Corporation,ACCOUNTING_ESTIMATE,FY2001-Q2|FY2001-Q3|FY2001-Q4|FY2002-Q1|FY2002-Q2|FY2002-Q3|FY2002-Q4|FY2003-Q1,,"Allied failed to maintain adequate documentation and support for fair value estimates of private finance securities, altering key valuation inputs from quarter to quarter without sufficient explanation, affecting securities valued at over $1.7 billion.",issuer,0.9,"34-55931, AAER-2618","June 20, 2007",AAER-2618.pdf
2273,Duke Energy Corporation,Duke Energy Corporation,EXPENSE_DEFERRAL,FY1997|FY1998|FY1999|FY2000|FY2001|FY2002,,"Traders improperly shifted losses from mark-to-market speculative trading books into accrual hedging books to defer recognition of losses to later periods, thereby overstating current-period earnings.",issuer,0.9,"34-51995, AAER-2273","July 8, 2005",AAER-2273.pdf
3733,Ocwen Financial Corporation,Ocwen Financial Corp.,ACCOUNTING_ESTIMATE,FY2013-Q2|FY2013-Q3|FY2013-Q4|FY2014-Q1,,"Ocwen materially misstated net income by relying on HLSS's improper valuation of rights to mortgage servicing rights, which did not conform to GAAP fair value estimates, causing misstatements in the last three quarters of 2013 and the first quarter of 2014.",issuer,0.9,"34-76938, AAER-3733","Jan. 20, 2016",AAER-3733.pdf
3775,Swisher,Swisher Hygiene Inc.,EARNINGS_SMOOTHING,FY2011-Q1|FY2011-Q2|FY2011-Q3,,"Swisher manipulated accounting entries for earnout accruals, compensation, unfavorable contracts, insurance reserves, and allowance for doubtful accounts to achieve predetermined Adjusted EBITDA targets, resulting in materially misstated financial results.",issuer,0.9,"33-10081, 34-77887, AAER-3775","May 24, 2016",AAER-3775.pdf
3766,"Ener1, Inc.","Ener1, Inc., et al.",REVENUE_TIMING,FY2010-Q4|FY2010|FY2011-Q1,,"Ener1 improperly recognized revenue from sales of batteries to an unconsolidated related-party entity during the fourth quarter of 2010, and failed to impair investments and receivables from that entity at year-end 2010 and first quarter 2011.",issuer,0.9,"33-10068, 34-77645, AAER-3766","April 19, 2016",AAER-3766.pdf
4547,Becton Dickinson and Company,"Becton, Dickinson and Company",EXPENSE_DEFERRAL,FY2019|FY2020,,"Becton Dickinson failed to properly account for probable recall costs related to fixing software flaws in its Alaris infusion pump, thereby understating expenses and overstating income.",issuer,0.9,"33-11344, 34-101931, AAER-4547","Dec. 16, 2024",AAER-4547.pdf
3297,"LaBarge, Inc.","LaBarge, Inc.",ACCOUNTING_ESTIMATE,FY2006|FY2007,,"LaBarge manipulated estimates of completion costs on long-term production contracts, causing cost of sales and net earnings to be misstated in periodic reports filed in 2006 and 2007.",issuer,0.9,"34-64776, AAER-3297","June 30, 2011",AAER-3297.pdf
3765,Logitech International S.A.,"Logitech International, S.A., Michael Doktorczyk and Sherralyn Bolles, CPA",ACCOUNTING_ESTIMATE,FY2011,,"Logitech failed to properly write down Revue inventory to the lower of cost or market, delaying recognition of an impairment charge.",issuer,0.9,"34-77644, AAER-3765","April 19, 2016",AAER-3765.pdf
3993,"Alliance One International, Inc.","Pyxus International, Inc.",EXPENSE_DEFERRAL,FY2011|FY2012|FY2013|FY2014|FY2015-Q1|FY2015-Q2,"decreased inventory by approximately $32 million, decreased accounts receivable by approximately $7 million, decreased retained earnings by approximately $39 million","Alliance One Kenya management overrode controls and failed to report accounting errors, resulting in overstated inventory and accounts receivable that were corrected by decreasing inventory by $32 million and accounts receivable by $7 million, reflecting improper deferral of costs or overstatement of assets.",issuer,0.85,"34-84562, AAER-3993","Nov. 9, 2018",AAER-3993.pdf
4171,Aeon (formerly Authentidate Holding Corp.),Aeon Global Health Corp.,ACCOUNTING_ESTIMATE,FY2016-Q1|FY2016-Q2|FY2016-Q3|FY2016-Q4|FY2017-Q1|FY2017-Q2|FY2017-Q3|FY2017-Q4|FY2018-Q1|FY2018-Q2|FY2018-Q3|FY2018-Q4|FY2019-Q1|FY2019-Q2|FY2019-Q3|FY2019-Q4,,"Respondent misstated revenue estimates due to delays in identifying reduced revenue collections from modification of payor claims adjudication processes, leading to material errors in revenue recognition.",issuer,0.85,"34-90003, AAER-4171","Sept. 25, 2020",AAER-4171.pdf
4557,Singularity,"Singularity Future Technology, Ltd.",REVENUE_TIMING,FY2017|FY2018|FY2019|FY2020|FY2021|FY2022|FY2023,,"Singularity improperly recognized revenue from a series of related party transactions, requiring a restatement in March 2023.",issuer,0.85,"34-102225, AAER-4557","Jan. 17, 2025",AAER-4557.pdf
3789,"The Phoenix Companies, Inc.","The Phoenix Companies, Inc.",ACCOUNTING_ESTIMATE,FY2009|FY2010|FY2011|FY2011-Q1|FY2011-Q2|FY2011-Q3,,"Phoenix made errors in calculations, assumptions, and application of accounting guidance to complex insurance products, including improper accounting for universal life products, loss recognition, fixed indexed annuities, and derivative valuation, leading to restatements of previously issued financial statements.",issuer,0.85,"34-78341, AAER-3789","July 15, 2016",AAER-3789.pdf
3997,"Hain Celestial Group, Inc.","The Hain Celestial Group, Inc.",REVENUE_TIMING,FY2014|FY2015|FY2016,,"Hain U.S. sales personnel provided end-of-quarter sales incentives to distributors to induce them to purchase specific dollar values of inventory by quarter-end, potentially accelerating revenue recognition before the sales were final or without proper accounting for the incentives.",issuer,0.85,"34-84781, AAER-3997","Dec. 11, 2018",AAER-3997.pdf
4514,National Energy Services Reunited Corp.,National Energy Services Reunited Corp.,EXPENSE_DEFERRAL,FY2018|FY2019|FY2020,,"National Energy failed to properly account for accounts payable and accrued liabilities, and failed to properly classify and report certain operating expenses as cost of services, resulting in understated expenses and overstated net income in its consolidated financial statements.",issuer,0.85,"34-100845, AAER-4514","Aug. 28, 2024",AAER-4514.pdf
4459,"GTT Communications, Inc.","GTT Communications, Inc.",EXPENSE_DEFERRAL,FY2019|FY2019-Q3|FY2020-Q1,,"GTT improperly deferred cost-of-revenue expenses by recording unsupported adjustments to COR-in-advance (prepaid expense) and COR vendor disputes, rather than recognizing them as period costs, in its Forms 10-Q for Q3 2019 and Q1 2020 and its 2019 Form 10-K.",issuer,0.85,"33-11241, 34-98491, AAER-4459","Sept. 25, 2023",AAER-4459.pdf
2386,"Sun Communities, Inc.","Sun Communities, Inc. and Sun Communities Operating Limited Partnership",ACCOUNTING_ESTIMATE,FY2000|FY2001|FY2002,,"Sun failed to properly account for losses in its investment in SunChamp by not applying the equity method of accounting under APB 18, SOP 78-9, and FAS 66, thereby understating its share of SunChamp losses.",issuer,0.85,"33-8665, 34-53381, AAER-2386","Feb. 27, 2006",AAER-2386.pdf
2097,"Fleming Companies, Inc.","Fleming Companies, Inc.",REVENUE_TIMING,FY2001|FY2002,,"Fleming improperly recorded numerous transactions to address anticipated earnings shortfalls, recognizing revenue prematurely or fictitiously to meet earnings targets.",issuer,0.85,"33-8482, 34-50365, AAER-2097","Sept. 14, 2004",AAER-2097.pdf
3978,Primoris Services Corporation,Primoris Services Corporation,REVENUE_TIMING,FY2014,,Primoris recorded revenue in the wrong quarters on three long-term construction contracts due to inadequate controls over contingent cost estimates under the percentage-of-completion method.,issuer,0.85,"34-84251, AAER-3978","Sept. 21, 2018",AAER-3978.pdf
